id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
567690,Dear Evan Hansen,6.264,351,Released,2021-09-24,19133454,137,27500000,tt9357050,en,Dear Evan Hansen,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",3.7951,An honest and original story for those lost and then found.,Drama,"universal pictures, marc platt productions, perfect world pictures, dentsu","Japan, United States of America",English,"DeMarius R. Copes, Dru Reel, Tommy Kane, Ben Platt, Shane Berengue, Julianne Moore, Colton Ryan, Amy Adams, Robin Segal Skolnik, Grace Lu, Kaitlynn Boyle, Ryan Basch, Amandla Stenberg, Gerald Caesar, Aymee Garcia, Nik Dodani, Tanushree Sekhri, Dominic Lauren, Naomi Rubin, Christopher Shea Hale, Avery Bederman, Gloria Bishop, Austin Scott Hunter, Zachary Willis, Maccie Margaret Chbosky, Danny Pino, Nathan W. Collins, Julia Chen Myers, Lio Mehiel, Amelia McArthur, Luis Waldstein-McCabe, Hadiya Eshe', Seth Fuentes, Swift Rice, Kaitlyn Dever, Kristin Clark, Zoey Luna, Marvin Leon, Mariana Alvarez, DaeSun Cupid, Isaac Powell, Liz Kate, Ceci Balagot, Tess Aubert, Deanna Crawford, Chris TC Edge, Raquel McPeek Rodriguez, J. Quinton Johnson, Luke Bambrick, Marcel Logan, Cameron J. Armstrong",Stephen Chbosky,Brandon Trost,"Benj Pasek, Steven Levenson, Justin Paul","Marc Platt, Benj Pasek, Justin Paul, Michael Bederman, Steven Levenson, Adam Siegel","Dan Romer, Benj Pasek, Justin Paul",6.1,20581,/hKjBQhsnCMt86kPKpPwV4meeFPo.jpg,9,2021,38,dear evan hansen,-40,16.766948931486485,0.40894997393869476,eternals
370172,No Time to Die,7.353,6746,Released,2021-09-29,774153024,163,250000000,tt2382320,en,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",8.5167,The mission that changes everything begins…,"Action, Thriller, Adventure","eon productions, metro-goldwyn-mayer","United Kingdom, United States of America","Español, Français, Pусский, English, Italiano","Eliot Sumner, Andrei Nova, Ross Donnelly, Christoph Waltz, Ralph Fiennes, Lisa-Dorah Sonnet, Chi Chan, Toby Sauerback, David Dencik, Svitlana Karabut, Daniel Craig, Gemmar Mcfarlane, Adnan Rashed, Rami Malek, Amy Morgan, Lizzie Winkler, Mathilde Bourbin, Michael Mercer, Gediminas Adomaitis, Giansalvatore Duca, Rod Hunt, Davina Moon, Pio Amato, Mattia Lacovone, Ernest Gromov, Rory Kinnear, Dali Benssalah, Priyanga Burford, Leighton Laing, Léa Seydoux, Naomie Harris, Jeffrey Wright, Nicola Olivieri, Joe Grossi, Brigitte Millar, Philip Philmar, Steve Barnett, Michael G. Wilson, Mark Addison, Lashana Lynch, Rae Lim, John Farrer, Winston Ellis, Dennis Good, Kimo Armstrong, Hugh Dennis, Tuncay Gunes, Douglas Bunn, Andy Cheung, Coline Defaud, Michael Herne, Raymond Waring, Clem So, Julian Ferro, Ana de Armas, Gordon Alexander, Billy Magnussen, Javone Prince, Lourdes Faberes, Paul O'Kelly, Hayden Phillips, David Olawale Ayinde, Ben Whishaw",Cary Joji Fukunaga,Linus Sandgren,"Robert Wade, Phoebe Waller-Bridge, Cary Joji Fukunaga, Ian Fleming, Neal Purvis","Barbara Broccoli, Chris Brigham, Michael G. Wilson",Hans Zimmer,7.3,475300,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,9,2021,39,no time to die,-35,20.46728011873095,0.5685355588536375,eternals
580489,Venom: Let There Be Carnage,6.8,10862,Released,2021-09-30,506863592,97,110000000,tt7097896,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",8.8059,You are what you eat.,"Science Fiction, Action, Adventure","columbia pictures, pascal pictures, matt tolmach productions, arad productions",United States of America,"Español, English","Reid Scott, Michelle Williams, Tiffanie Thomas, Vaughn Johseph, Jack Bandeira, Scroobius Pip, Stephen Graham, Otis Winston, James D. Weston II, Louis J Rhone, Jason McNab, Shaliz Afshar, Joshua Eldridge-Smith, Sean Delaney, Woody Harrelson, Eric Sigmundsson, Sam Robinson, Naomie Harris, Che Amaro, Peggy Lu, Brian Copeland, Rob Bowen, Greg Lockett, Miguel Angel Arreguin, Simon Connolly, Rachel Handshaw, Larry Olubamiwo, Rosie Marcel, Beau Sargent, Stewart Alexander, Akie Kotabe, Little Simz, Chabris Napier-Lawrence, Rocky Capella, Sonny Ashbourne Serkis, Amrou Al-Kadhi, Ed Kear, Ashlen Aquila, J.K. Simmons, Tom Holland, Reece Shearsmith, Elliot Cable, Kristen Simoes, Amanda Foster, Olumide Olorunfemi, Sian Webber, Christopher Godwin, Laurence Spellman, Jose Palma, Tom Hardy, David Zepeda, Michelle Greenidge, Jamal Ajala, Emma Lau",Andy Serkis,Robert Richardson,"Kelly Marcel, Mark Bagley, Tom DeFalco, Tom Hardy, David Michelinie, Todd McFarlane","Kelly Marcel, Ruben Fleischer, Matt Tolmach, Amy Pascal, Hutch Parker, Tom Hardy, Barry H. Waldman, Avi Arad, Jonathan Cavendish",Marco Beltrami,5.9,296177,/pzKsRuKLFmYrW5Q0q8E8G78Tcgo.jpg,9,2021,39,venom: let there be carnage,-34,20.04375247801845,0.5726786422290986,eternals
779029,The Battle at Lake Changjin,6.154,130,Released,2021-09-30,902540935,178,200000000,tt13462900,zh,长津湖,"Korean War, winter 1950. In the frozen and snowy area of Changjin Lake, a bloody battle is about to begin between the elite troops of the United States and China.",4.527,Do they fall out of the goddamn sky?,"Drama, War","bona film group, shanghai film group, df pictures, alibaba pictures group, china film group corporation, distribution workshop, huaxia film distribution, just creative studio","China, Hong Kong","普通话, English","Yan Peng, Zhang Zhiqin, Tian Zheng, Liu Jintong, Chu Shuanzhong, Zhou Xiaobin, He Qiang, Wang Yanyang, Andy Friend, Zhu Yawen, Zhang Yue, Jia Xinggang, Wang Tonghui, Wu Weidong, Lin Jinglai, Zhang Lei, Jerry Lee, Liu Jin, Na Zhidong, Chen Zexuan, Zhang Zhikun, Han Bowei, Wang Hongtao, Tang Linsen, 孙国帅, Zhuang Xiaolong, Li Bo, Zhang Xiu, Zhang Ningjiang, Kyrylo Shulga, Zhu Guangming, Gang Yi, Guo Jian, Yang Yiwei, Liu Sha, Xie Jingda, Huang Xiaohang, Quanbin Wang, Lu Wei, Zac Wang, Liu Xinjie, Tiger Xu, Cheng Yi, Elvis Han, 潘展展, Sun Boyang, Geng Le, Wang Guanqi, Zhang Yiming, 克里斯托弗·托德·埃文斯, Dai Lu, Ou Hao, Li Yize, Zhang Xiaojun, Rovaif Babar, Wang Zilong, Tang Guoqiang, 王健, Yang Can, Shi Lei, Tang Zhiqiang, Cao Aorigele, 约翰·克鲁兹, Duan Yihong, Lin Yongjian, Hu Jun, Wang Ning, Shi Haozheng, Shi Pengyuan, Li Xiaofeng, 韩方晨, Diego Dati, Cai Xin, James Filbird, Zhao Yongzhan, Zhou Huilin, Zhang Xiaolei, Wu Jing, Zhang Hanyu, Zhang Chenyin, Wu Dongjian, He Yuefei, Hu Xueliang, Jackson Yee, Zhang Yubo, Wang Zhigang, Li Jun, Sun Yi, Li Mincheng, Yin Yuanzhang, 黎艾蒙, Cheng Guodong, He Guangzhi, Huang Xuan, Liu Zhiwei, Jiang Xiaolin, 吴明杭, Xin Yubo, Cao Yang, Zhao Yihan, Li Zhuoyang, Wang Wufu, Song Yuchen, Lu Qi, Wu Tieliang, Matias Lorieri, Aimee Xu, 法提","Chen Kaige, Tsui Hark, Dante Lam Chiu-Yin","Luo Pan, Tiger Gao, Horace Wong Wing-Hang, Peter Pau Tak-Hai, Ding Yu, Kenny Tse Chung-To","Lan Xiaolong, Huang Jianxin","Huang Jianxin, Chen Kaige, Yu Dong, Tsui Hark, Jiang Defu, Dante Lam Chiu-Yin, Shi Nansun, Chen Hong, Candy Leung Fung-Ying",Elliot Leung Ho-Yat,5.5,4716,/iXvAlIo4DPLBiraC2KLu4977Wo2.jpg,9,2021,39,the battle at lake changjin,-34,20.620724605591402,0.5891635601597544,eternals
785663,Old Henry,7.3,620,Released,2021-10-01,77463,99,1500000,tt12731980,en,Old Henry,"A widowed farmer and his son warily take in a mysterious, injured man with a satchel of cash. When a posse of men claiming to be the law come for the money, the farmer must decide who to trust. Defending a siege of his homestead, the farmer reveals a talent for gun-slinging that surprises everyone calling his true identity into question.",6.487,You can't bury the past.,"Western, Action, Drama","shout! studios, hideout pictures, blue swan entertainment, vmi worldwide",United States of America,"Español, English","Scott Haze, Brad Carter, Richard Speight Jr., Stephen Dorff, Trace Adkins, Gavin Lewis, Kent Shelton, Tim Blake Nelson, Max Arciniega",Potsy Ponciroli,John Matysiak,Potsy Ponciroli,"Alex Siskin, Trevor O'Neil, Jordan Fields, Richard Foos, Garson Foos, Michael Hagerty, Bob Emmer, Shannon Houchins",Jordan Lehning,7.3,43224,/eE1SL0QoDsvAMqQly56IkRtlN1W.jpg,10,2021,39,old henry,-33,11.257568591291367,0.33110495856739314,eternals
655082,Eiffel,6.3,701,Released,2021-10-07,13000000,108,26000000,tt10366514,fr,Eiffel,"The French government is asking Gustave Eiffel to design something spectacular for the 1889 Paris World Fair, but he simply wants to design the subway—until he crosses paths with a mysterious woman from his past.",2.815,You will never look at it the same way again.,"Romance, Drama","pathé, vvz production, constantin film, scope pictures, m6 films, m6","Belgium, France, Germany",Français,"Stéphane Page, Armande Boulanger, Matthieu Piriou, Clémence Boué, Hervé Masquelier, Josselin Baillarguet, Romain Duris, Aurélien Luzeux, Philippe Richardin, Benoît de Gaulejac, Joseph Rezwin, Philippe Saïd, Jérémie Petrus, Alexandre Steiger, Julien Sarazin, Emma Mackey, Michèle Clément, Juliette Blanche, Damien Zanoly, Pierre Le Baleur, Dominique Pozzetto, Frédéric Merlo, Philippe Hérisson, Jérémy Lopez, Aurélia Frachon, Pierre Deladonchamps, Sophie Fougère, Andranic Manet, David Olivier Fischer",Martin Bourboulon,Matias Boucard,"Martin Brossollet, Caroline Bongrand, Martin Bourboulon, Tatiana De Rosnay, Natalie Carter, Thomas Bidegain","Jérôme Seydoux, Vanessa van Zuylen, Marie de Cenival, Geneviève Lemal, Ardavan Safaee, Martin Moszkowicz",Alexandre Desplat,6.2,8760,/mrHx1eQpG7d0Qz3PUkt1ceEP6YK.jpg,10,2021,40,eiffel,-27,16.380459992348886,0.5850164282981745,eternals
592695,Pleasure,6.303,726,Released,2021-10-08,393824,108,1800000,tt8550054,sv,Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",10.3753,"In the pursuit of fame, she discovers the price of pleasure.",Drama,"film i väst, flamboyance films, lemming film, plattform produktion, svt, logical pictures, grand slam film production, sf studios","France, Netherlands, Sweden","English, svenska","Juliette March, Sean Stearley, Ex Libris, Peter Warren, Kendra Spade, Mick Blue, Claudio Bergamin, Ken Melvoin-Berg, Rusty Nails, Casey Calvert, Bill Bailey, Tommy Pistol, Anthony Elias Contreras, Xander Corvus, Sofia Kappel, Steve Holmes, Kelvin Batiste Jr., Eric John Grossbeck, David Freeman, Tee Reel, Ruckus, Abella Danger, Marc Kramer, Danielle Alexandria, Victor Siegel, Chris Cock, Reza Azar, Parker Stuart, Jules Jordan, John Strong, Evelyn Claire, Eva Melander, Kasia Szarek, Mana Afshar, Timi Mason, Zelda Morrison, Dana DeArmond, Yoshi Nurijumi, Alice Grey, Gina Valentina, Nathan Bronson, Mark Spiegler, Maja Kin, Small Hands, Devin McGee, Derrick Pierce, Axel Braun, Ryan McLane, Charlotte Cross, Pryde Pierce, Jason Toler, Jay Allan, Ivy Sherwood, Jack Blaque, Ester Uddén, Michael Thompson, Cammy Ellis, Chanel Preston, Aiden Starr, Lucy Hart",Ninja Thyberg,Sophie Winqvist,"Ninja Thyberg, Peter Modestij, Sissel Dalsgaard Thomsen, Daniela Dahl, Josefine Adolfsson, Isabel Nylund, Sofia Kappel","Pape Boye, Markus Waltå, Eliza Jones, Violaine Pichon, Erik Hemmendorff",Karl Frid,6.3,25602,/TcOsu6iO5prSJbDn9oIQgIW655.jpg,10,2021,40,pleasure,-26,12.88366192717417,0.4771726639694137,eternals
568124,Encanto,7.6,9913,Released,2021-10-13,261292688,102,150000000,tt2953050,en,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",13.0114,There's a little magic in all of us...almost all of us.,"Animation, Comedy, Family, Fantasy",walt disney animation studios,United States of America,"English, Español","Rose Portillo, Olga Merediz, Diane Guerrero, Ravi Cabot-Conyers, Juan Castano, Jorge E. Ruiz Cano, Sarah-Nicole Robles, Mauro Castillo, Angie Cepeda, John Leguizamo, Rhenzy Feliz, María Cecilia Botero, Hector Elias, Noemi Josefina Flores, Ezra Rudulph, Wilmer Valderrama, Brooklyn Skylar Rodriguez, Paisley Day Herrera, Jessica Darrow, Maluma, Adassa, Carolina Gaitán, Alyssa Bella Candiani, Stephanie Beatriz, Alan Tudyk","Byron Howard, Jared Bush",,"Nancy Kruse, Charise Castro Smith, Jared Bush, Lin-Manuel Miranda, Jason Hand, Byron Howard","Clark Spencer, Jennifer Lee, Yvett Merino Flores",Germaine Franco,7.2,289187,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,10,2021,41,encanto,-21,19.381151750765312,0.8809614432166051,eternals
617653,The Last Duel,7.414,3651,Released,2021-10-13,30552111,153,100000000,tt4244994,en,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",5.4837,The true story of a woman who defied a nation and made history.,"History, Drama, Action","20th century studios, pearl street films, scott free productions",United States of America,"Français, English, Română","John Kavanagh, Shane Lynch, Stephen Brennan, Martin Gogarty, Alex Blanchard, Jim Roche, Chloe Harris, Marton Csokas, Oliver Cotton, Kyle English, Bryony Hannah, Tassia Martin, Florian Hutter, Ronan Leonard, Adam Nagaitis, Lorris Chevalier, Matt Damon, Adam Driver, Sam Hazeldine, Brian Manning, Zoé Bruneau, Sylvain Lablée, Julian Firth, Ian Pirie, Ben Affleck, Daniel Horn, Cécilia Steiner, Gin Minelli, Sam Chemoul, Janet Grene, Brian F. Mulvey, Simone Collins, Chloé Lindau, Adam Goodwin, Thomas Silberstein, Peter Hudson, Jodie Comer, Kevin McGahern, William Houston, Clive Russell, Tallulah Haddon, Peter Kirkby, Aurélien Lorgnier, Michael McElhatton, Bosco Hogan, Elise Caprice, Quentin Ogier, Fady Naguib, Fiona Maherault Valinski, Kyle Hixon, Brontis Jodorowsky, Nathaniel Parker, Martin Vaughan Lewis, Dimitri Michelsen, Caoimhe O'Malley, Paul Bandey, Camille Mutin, Alexander Pattie, Zeljko Ivanek, Karl Hogan, Clare Dunne, Colin David Reese, Serena Kennedy, Mark Atkin, Christian Erickson, Harriet Walter, Alex Lawther",Ridley Scott,Dariusz Wolski,"Eric Jager, Matt Damon, Ben Affleck, Nicole Holofcener","Ridley Scott, Kevin Halloran, Jennifer Fox, Ben Affleck, Drew Vinton, James Flynn, Kevin J. Walsh, Madison Ainley, Matt Damon, Morgan O'Sullivan, Nicole Holofcener",Harry Gregson-Williams,7.3,200581,/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,10,2021,41,the last duel,-21,17.23494437376189,0.7834065624437223,eternals
610253,Halloween Kills,6.4,2813,Released,2021-10-14,133423964,105,20000000,tt10665338,en,Halloween Kills,"Michael manages to free himself from Laurie Strode's trap to resume his ritual bloodbath. As she fights for her life from injuries from their last encounter, she inspires her daughter Karen, her granddaughter Allyson, and all of Haddonfield to rise up against the unstoppable monster.",4.2925,Evil dies tonight.,"Horror, Thriller","blumhouse productions, miramax, rough house pictures, trancas international films",United States of America,English,"Brian Mays, Drew Scheid, Thomas Mann, Elaine Nalee, J. Gaven Wilde, Judy Greer, Salem Collins, Anthony Michael Hall, Michael Smallwood, Athena Levesque, Jonathan Bruce, James Northrup, Drew Broderick, Jibrail Nantambu, Mike Dupree, Scott MacArthur, Nancy Stephens, Ashley Pynn, Lauren Williams, Trenell Mooring, Damien Lee, Tatiyana Hill, Will Patton, Dylan Arnold, Ni'amoni Bagley, Nicholas Pryor, Brian F. Durkin, Willie Raysor, Craig Newkirk, Kelvin Hargrove, Lenny Clarke, Colin Mahan, Steven Foertsch, Carmela McNeal, Bob Odenkirk, Tristian Eggerling, Omar J. Dorsey, Jim Cummings, Robert Longstreet, Charles Cyphers, Arianna Levesque, Charlie Benton, Veronica Russell, Andi Matichak, Naomi Ansano, James Jude Courtney, Holli Saperstein, Shane Donovan Lewis, Jessica Arden Napier, Ella Dorsch, Ryan Lewis, Nancy Kyes, Kyle Richards, Aaron Ashlock, Michael Mercaldi, Josh Turner, Jamie Lee Curtis, Giselle Witt, Nick Castle, Jacob Keohane, P. J. Soles, Shayla Bagir, Troy Rudeseal, Christian Michael Pates, Michael McDonald, Ross Bacon, Diva Tyler, Angela Emerson, Jennifer Trudrung, Andrea Levesque, Salem Murphy, Jason Garay, Airon Armstrong, Mark Versnick, Beth Felice, Tom Jones Jr.",David Gordon Green,Michael Simmonds,"Danny McBride, Debra Hill, John Carpenter, David Gordon Green, Scott Teems","Danny McBride, Jamie Lee Curtis, Couper Samuelson, Malek Akkad, Jason Blum, John Carpenter, David Gordon Green, Ryan Freimann, Jeanette Volturno, Bill Block","John Carpenter, Cody Carpenter, Daniel Davies",5.5,106562,/4CclCDyQXBBgz62Qtp3CoflQE5g.jpg,10,2021,41,halloween kills,-20,18.709042322987248,0.890906777285107,eternals
793937,The School of the Magical Animals,6.2,89,Released,2021-10-14,22028248,93,11700000,tt11455260,de,Die Schule der magischen Tiere,"Ida Kronenberg must transfer to a new school, where she soon realizes the students are unkind to each other. However, that all changes when a new teacher, Miss Cornfield, begins to educate them on the value of friendship and magic.",2.2244,A magical adventure,"Family, Adventure, Fantasy","kordes & kordes film, wega film, clever production, schubert international filmproduktions, leonine studios","Austria, Germany",Deutsch,"Max von der Groeben, Heiko Pinkowski, Marleen Lohse, Charlotte Hagenbucher, Thilo Fridolin Matthes, Loris Sichrovsky, Lauri Kröck, Justus von Dohnányi, Emilia Maier, Jakob Weingärtner, Leonard Artur Conrads, Sophie Rois, Lilith Julie Johna, Katharina Thalbach, Emil Mascheck, Levi Kazmaier, Nadja Uhl, Milan Peschel, Tristan Schreck, Rike Schmid",Gregor Schnitzler,Wolfgang Aichholzer,"Viola Schmidt, Oliver Schütte, Alexander Dydyna, John Chambers, Margit Auer","Fred Kogel, Meike Kordes, Alexandra Kordes, Josef Brandmaier",Dominik Giesriegl,5.3,1071,/lJl7go7W9MG4yVOQ3qCLTWo6oe9.jpg,10,2021,41,the school of the magical animals,-20,16.907836233095793,0.8051350587188473,eternals
