id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
254905,Manglehorn,5.4,213,Released,2015-06-03,143101,97,4000000,tt2893490,en,Manglehorn,"AJ Manglehorn is an aging, ordinary guy in a small town. He nurses his sick cat, squeezes out a conversation with the local bank teller every Friday, and eats at the same place every day.  But there is more to Manglehorn than meets the eye: he’s an ex-con who, 40 years ago, gave up the woman of his dreams for a big ‘job’. After a dramatic effort to start over, Manglehorn faces a terrifying moment and is unmasked as a guy with a very, very dark past.",1.453,You get one shot at life. Try not to miss.,Drama,"worldview entertainment, rough house pictures",United States of America,English,"Gary Clarke, June Weber, June Griffin Garcia, Brian Mays, Sierra Scott, Marisa Varela, Edrick Browne, Louis Moncivias, Alice Belleman, Andrea Guitierrez, Lara Shah, Carolyn Wickwire, Herculano Trevino, Holly Hunter, Tim Curry, Al Pacino, Rebecca Franchione, Arthur Marroquin, Sandy Avila, Jennifer Tidwell, Lamonica Lewis, Alvin Hysong, Harmony Korine, Tyson Eberly, Angela Woods, Natalie Makenna, D.V.M. Don R. McLeod, Diane Perella, Aj Wilson McPhaul, Jamal Oliver, Jazzmin Delgado, Jemal Delacruz, Skylar Gasper, Chris Messina, Larry Graugnard, Kay Epperson",David Gordon Green,Tim Orr,Paul Logan,"Danny McBride, Christopher Woodrow, Molly Conners, Sarah E. Johnson, Lisa Muskat, Jody Hill, Maria Cestone, Hoyt David Morgan, Brad Coolidge, David Gordon Green, Todd J. Labarowski, Melissa Coolidge, Derrick Tseng",David Wingo,5.5,8330,/ms27YhpvgE5b0JIwaNiWw6EDC8g.jpg,6,2015,23,manglehorn,-41,11.871312941687266,0.2826503081354111,ant-man
135397,Jurassic World,6.699,21092,Released,2015-06-06,1671537444,124,150000000,tt0369610,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",16.787,The park is open.,"Action, Adventure, Science Fiction, Thriller","amblin entertainment, universal pictures, legendary pictures",United States of America,English,"Julia Holt, BD Wong, Matt Burke, Tim Connolly, Yvonne Angulo, Erika Erica, Brian Tee, Lauren Lapkus, Omar Sy, Patrick Crowley, Megan Skiendiel, Brandon Richardson, Isaac Keys, Johnny Otto, Arlene Newman, Colin Trevorrow, Tiffany Forest, Chloe Perrin, Bonnie Wild, Timothy Eulich, Matthew Cardarople, Vincent D'Onofrio, Justin Lacalamita, Tait Fletcher, Courtney James Clark, Ty Simpkins, Jimmy Buffett, Irrfan Khan, Gary Weeks, Jimmy Fallon, Bryce Dallas Howard, Brad Bird, Eddie J. Fernandez, Jake Johnson, Rob Fuller, Chad Randall, Kevin Foster, Eric Edelstein, Martin Klebba, William Gary Smith, Judy Greer, Colby Boothman-Shepard, James DuMont, Bill Ogilvie, Brandon Marc Higa, Allan Tam, Katie McGrath, Andy Buckley, Michael Papajohn, Chris Pratt, Anna Talakkottur, Kelly Washington, Nick Robinson",Colin Trevorrow,John Schwartzman,"Michael Crichton, Derek Connolly, Colin Trevorrow, Rick Jaffa, Amanda Silver","Thomas Tull, Steven Spielberg, Frank Marshall, Patrick Crowley",Michael Giacchino,6.9,717387,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,6,2015,23,jurassic world,-38,21.237009665607605,0.544538709374554,ant-man
150540,Inside Out,7.91,22907,Released,2015-06-17,857611174,95,175000000,tt2096673,en,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",18.5723,Meet the little voices inside your head.,"Animation, Family, Adventure, Drama, Comedy",pixar,United States of America,English,"Frank Oz, Veronika Bonell, Dashell Zamm, Bobby Moynihan, Erik Langley, Bill Hader, Sherry Lynn, Mona Marshall, Murray Pearl Schaeffer, Gregg Berger, Ronnie del Carmen, Amy Poehler, Kyle MacLachlan, Diane Lane, Carlos Alazraqui, Andrea Datzman, Jacob Hopkins, Aurora Blue, Lennon Wynn, Dave Goelz, Peter Sagal, Jim Ward, Bret Parker, Mindy Kaling, Daniella Jones, Dawnn Lewis, Sophia Lee Karadi, Flea, Emma Hudak, Molly Jackson, Tony Fucile, Lewis Black, Nick Pitera, Randy Hahn, Phil Proctor, Richard Kind, Elissa Knight, Keith Ferguson, Lori Alan, Mary Gibbs, Laraine Newman, Phyllis Smith, Pete Docter, Carter Hastings, Josh Cooley, Paris Van Dyke, John Ratzenberger, Patrick Seitz, Kaitlyn Dias, Dani Dare, Paula Pell, Lola Cooley, Dara Iruka, John Cygan, Rashida Jones, Paula Poundstone, Evan Hudak, Tony Maki",Pete Docter,Patrick Lin,"Meg LeFauve, Matt Jones, J. Garett Sheldrew, Ronnie del Carmen, James S. Baker, Pete Docter, Josh Cooley","John Lasseter, Andrew Stanton, Jonas Rivera",Michael Giacchino,8.1,890652,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,6,2015,25,inside out,-27,20.56966137874629,0.7346307635266532,ant-man
211672,Minions,6.4,10873,Released,2015-06-17,1159457503,91,74000000,tt2293640,en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",3.8331,"Meet Stuart, Kevin & Bob.","Family, Animation, Adventure, Comedy","illumination, universal pictures",United States of America,English,"Michael Keaton, Mickie McGowan, Alex Dowding, Dave Rosenbaum, Pierre Coffin, Bob Bergen, Lori Alan, Danny Mann, James Daniel Wilson, Jim Ward, Jess Harnell, Sherry Lynn, Sandra Bullock, Hiroyuki Sanada, Andy Nyman, Jan Rabson, Steve Coogan, Daniel Barker, Jim Cummings, Michael Beattie, Alexander Polinsky, Allison Janney, Katy Mixon, Jennifer Saunders, Kyle Balda, John Cygan, Mona Marshall, Tara Strong, Eve Karpf, Ava Acres, Christopher Ragland, Melanie Bond, Steve Carell, Geoffrey Rush, Brian T. Delaney, Paul Thornley, John Kassir, Carlos Alazraqui, Gary Martin, Mindy Sterling, Colette Whitaker, Laraine Newman, Keith Ferguson, Lewis Macleod, Bill Farmer, Jon Hamm","Kyle Balda, Pierre Coffin",,"Ken Daurio, Cinco Paul, Dave Rosenbaum, Brian Lynch","Janet Healy, Chris Meledandri, Chris Renaud",Heitor Pereira,6.4,278519,/vlOgaxUiMOA8sPDG9n3VhQabnEi.jpg,6,2015,25,minions,-27,20.87121806370793,0.745400645132426,ant-man
336804,Mustang,7.737,1410,Released,2015-06-17,5300000,97,1300000,tt3966404,tr,Mustang,"In a Turkish village, five orphaned sisters live under strict rule while members of their family prepare their arranged marriages.",2.416,Their spirit would never be broken.,Drama,"cg cinéma, vistamar filmproduktion, uhlandfilm, bam film, kinology","Turkey, France, Germany",Türkçe,"Serpil Ucar, Erol Afşin, Serife Kara, Serpil Reis, Rukiye Sariahmet, Kadir Celebi, Elit İşcan, Ayberk Pekcan, Burak Yiğit, Suzanne Marrot, Tuncer Kumcular, Doğa Zeynep Doğuşlu, Müzeyyen Celebi, Aynur Komecoglu, Nihal Koldaş, Ercan Köksal, Sevval Aydin, Güneş Nezihe Şensoy, Utku Zeka, Aziz Komecoglu, Enes Sürüm, Tuğba Sunguroğlu, Ilayda Akdoğan, Bahar Kerimoğlu, Aykut Karatay",Deniz Gamze Ergüven,"Ersin Gök, David Chizallet","Alice Winocour, Deniz Gamze Ergüven",Charles Gillibert,Warren Ellis,7.6,42461,/8lrsjdydRxhKlKiGuMbbzuFKrdN.jpg,6,2015,25,mustang,-27,15.483217567201578,0.5529720559714849,ant-man
286565,Paper Towns,6.2,5119,Released,2015-06-18,85500000,109,12000000,tt3622592,en,Paper Towns,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life dressed like a ninja and summoning him for an ingenious campaign of revenge, he follows. After their all-nighter ends and a new day breaks, Quentin arrives at school to discover that Margo, always an enigma, has now become a mystery. But Quentin soon learns that there are clues, and they're for him. Urged down a disconnected path, the closer Quentin gets, the less he sees of the girl he thought he knew.",2.9087,Get Lost. Get Found.,"Mystery, Drama, Romance","fox 2000 pictures, temple hill entertainment",United States of America,English,"Cara Buono, Caitlin Carver, Stevie Ray Dallimore, Susan Macke Miller, Drew Matthews, Meg Crosbie, Marta Martin, Nat Wolff, Yossie Mulyadi, Lane Lovegrove, Hannah Riley, Griffin Freeman, Christopher Pell, Jaz Sinclair, Ansel Elgort, Cara Delevingne, Rob C. Baldwin, Sophia Grillo, Halston Sage, Josiah Cerio, Jay Duplass, John Green, Tom Hillmann, Justice Smith, Bailey Nemirow, Virginia Riggsbee, Emma O'Loughlin, Jim R. Coleman, RJ Shearer, Austin Abrams, Kendall McIntyre",Jake Schreier,David Lanzenberg,"Michael H. Weber, John Green, Scott Neustadter","Marty Bowen, Wyck Godfrey",Ryan Lott,6.2,110951,/eoF6wYVj1vbrCWjL0rBkdZpgrxS.jpg,6,2015,25,paper towns,-26,18.264026945602897,0.6764454424297369,ant-man
280996,Mr. Holmes,6.5,1909,Released,2015-06-19,29355203,104,11000000,tt3168230,en,Mr. Holmes,"In 1947, long-retired and near the end of his life, Sherlock Holmes grapples with an unreliable memory and must rely on his housekeeper's son as he revisits the still-unsolved case that led to his retirement.",3.3471,The man behind the myth,"Drama, Crime, Family, Mystery","filmnation entertainment, bbc film, see-saw films, archer gray, ai film, miramax","United Kingdom, United States of America","Français, English, 日本語","Ian McKellen, Roger Allam, Sarah Crowden, Johnny Otto, John Carr, Hiroyuki Sanada, Phil Davis, Milo Parker, Hermione Corfield, John Sessions, Kit Connor, Zoe Rainey, Elizabeth Jane Cassidy, Oliver Devoti, Laura Linney, Sam Coulson, Hattie Morahan, Eileen Davies, Patrick Kennedy, Michael Culkin, Nicholas Rowe, Zak Shukor, Takako Akashi, David Foxxe, Mike Burnside, Charles Maddox, Frances de la Tour, Colin Starkey, Paul Blackwell, Frances Barber",Bill Condon,Tobias A. Schliessler,"Mitch Cullin, Arthur Conan Doyle, Jeffrey Hatcher","Christine Langan, Len Blavatnik, Iain Canning, Aviv Giladi, Amy Nauiokas, Vince Holden, Zanne Devine, Emile Sherman, Anne Carey",Carter Burwell,6.8,69869,/nNHkoefLcdtaHyG08G8aDn1yFMw.jpg,6,2015,25,mr. holmes,-25,17.194980396868644,0.6613453998795632,ant-man
308639,Dope,7.064,1521,Released,2015-06-19,17986781,103,7000000,tt3850214,en,Dope,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.",3.8677,It's hard out here for a geek.,"Crime, Drama, Comedy","revolt films, significant productions, iamother entertainment",United States of America,English,"Zoë Kravitz, Kimberly Elise, Forest Whitaker, Quincy Brown, Rick Fox, Allen Maldonado, Tony Revolori, Jeremy Marinas, Milton T.J. Taylor, Lidia Porto, Casey Veggies, Bruce Beatty, Larnell Stovall, De'Aundre Bonds, Vince Staples, Chanel Iman, A$AP Rocky, Emmanuel Manzanares, Roger Guenveur Smith, Kiersey Clemons, Michael Flores, Julian Brand, Ricky Harris, Shameik Moore, Alex Urbom, Christopher Glenn, Nino Nava, Jonny Yoku, Josh Meyer, Ryan Stroud, LaKeith Stanfield, Kap G, Tyga, Ashton Moio, Wyking Jones, Simmie Sims, Amin Joseph, Mimi Michaels, Blake Anderson, Benjamin Levy Aguilar",Rick Famuyiwa,Rachel Morrison,Rick Famuyiwa,"Rick Famuyiwa, Forest Whitaker, David Lonner, Michael Y. Chow, Pharrell Williams, Nina Yang Bongiovi",Germaine Franco,7.2,91247,/n6u00imN7AX2NiyWUc5kTgHXmEf.jpg,6,2015,25,dope,-25,16.705147712772316,0.6425056812604737,ant-man
87101,Terminator Genisys,5.945,8692,Released,2015-06-23,440603537,126,155000000,tt1340138,en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",8.9879,Reset the future,"Science Fiction, Action, Thriller, Adventure","paramount pictures, skydance media",United States of America,English,"Aaron V. Williamson, Gregory Alan Williams, John L. Armijo, Patrick Constantine Bertagnolli, Jr., Ari Atken, Douglas M. Griffin, J.K. Simmons, Michael Gladis, Anthony Michael Frederick, Brandon Stacy, Luke Sexton, Ernest Wells, Michael D. Anglin, Todd T Taylor, Grinnell Morris, Terry Dale Parks, Matt Smith, Tony Donno, Bryant Prince, Samantha Sadoff, Matty Ferraro, Giovanni Silva, Griff Furst, Erica Teeple, Thomas Francis Murphy, Jason Clarke, Mark Adam, Wayne Bastrup, Moses Munoz, Christion Troxell, Shawntae Hughes, David Cleveland Brown, Nolan Gross, Dayo Okeniyi, Emilia Clarke, Joshua Mikel, Edgar Leza, Nathan O'Neil Smith, Courtney B. Vance, Justin Lebrun, James Moses Black, Lizeth Hutchings, Victoria Greene, Christopher Heskey, Carter Burch, Brett Azar, Kevin Lapham, Bill Rainey, Larry E. Lundy Jr., Seth Meriwether, Gus Rhodes, Kerry Cahill, Kyle Clements, Willa Taylor, Seth Carr, Lori Campbell, Ross P. Cook, Ian Etheridge, Otto Sanchez, Afemo Omilami, Lee Byung-hun, Teri Wyble, Arnold Schwarzenegger, John Edward Lee, Jeffrey Johnson, Kerry O'Malley, Sergio Kato, Dennis Thomas IV, Terri Battee, Douglas Smith, Matthew Gallagher, Christopher De Stefano, Sandrine Holt, Lisa McRee, Jai Courtney, Hannah Spiros",Alan Taylor,Kramer Morgenthau,"James Cameron, Laeta Kalogridis, Gale Anne Hurd, Patrick Lussier","Paul Schwake, David Ellison, Megan Ellison, Patrick Lussier, Dana Goldberg, Laeta Kalogridis, Bill Carraro",Lorne Balfe,6.3,303699,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,6,2015,26,terminator genisys,-21,19.903656022259423,0.9047116373754283,ant-man
318781,Colonia,7.3,1945,Released,2015-06-24,3621046,106,14000000,tt4005402,en,Colonia,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",2.8084,There is no turning back,"Drama, History","majestic filmproduktion, rat pack filmproduktion, iris productions, fred films","Germany, France, Luxembourg, United Kingdom","English, Español","Nicolás Barsoff, Rouven Blessing, Emma Watson, Iván Espeche, Jeanne Werner, Daniel Brühl, Justina Bustos, Steve Karier, Lucila Gandolfo, Johannes Allmayer, Paul Herwig, César Bordón, Jasper Timm, Julian Ovenden, Cuco Wallraff, Johannes Frolich, Gastón Filgueira, Jules Waringo, Natalia Señorales, Lydia Stevens, Jose Antonio Coello Porras, Marcelo Vilaro, Pedro Merlo, Martine Conzemius, Lauren Jane Pringle, Éric Gigout, Etienne Halsdorf, Michael Nyqvist, Carlos Alejandro López, Melania Lenoir, Gilles Soeder, Stefan Merki, Richenda Carey, Ariel Nuñez Di Croce, Alexia Moyano, Martin Wuttke, Pietro Gian, Edgar Moro, Herbert Forthuber, Stephan Szasz, Vicky Krieps, August Zirner, Katharina Müller-Elmau, Lalo Rotaveria, Oscar Ali Garci",Florian Gallenberger,Kolja Brandt,"Florian Gallenberger, Torsten Wenzel, Tom Kinninmont","Benjamin Herrmann, Nicolas Steil","André Dziezuk, Fernando Velázquez",7.0,59166,/p7oGFkMGaQR27R1olN9RoMzg4vS.jpg,6,2015,26,colonia,-20,15.102273768503364,0.7191558937382554,ant-man
214756,Ted 2,6.3,7777,Released,2015-06-25,215863606,115,68000000,tt2637276,en,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",11.1908,Thunder buddies for life.,"Comedy, Fantasy","smart entertainment, universal pictures, fuzzy door productions, bluegrass films, mrc",United States of America,English,"Toi'ya Leatherwood, Julie Schmid, J. Mark Donaldson, Stanis Krista Ames, Ronobir Lahiri, Alexandra Creteau, Silvio Cuadra, Patrick Stewart, Mark Wahlberg, Kandiss Lewis, Chris Neville, Isabella Sanchez, Jessica Barth, Lance Norris, Zola Williams, Steve Callaghan, Barry Ratcliffe, Rachael MacFarlane, Liz Morgan, Laura-Elise Barrett, Elizabeth Pollard, William Xifaras, Kim Mulhauser, Lauren Sánchez Bezos, Jeffrey Stubblefield, John Viener, Ted Jessup, Dennis Haysbert, Chassidy Cox, Sagan Rose, Jessica Szohr, Billy Concha, Dustin Christenson, Dustin Ybarra, London Hall, Becki Dennis, Ralph Garman, Michelle Fonseca, Sebastian Arcelus, John Franchi, Noelle Trudeau, Kate B. O'Brien, Josiah Blount, John Carroll Lynch, Isabel Wagner, Lexi Atkins, Johnny Alves, Maggie Geha, Chris Regan, Tina Grimm, Robert Holfelder, Taran Killam, Kt Baldassaro, Nana Visitor, Bill Smitrovich, Michael Dorn, Chia Chen, Rose Wakesho, Matthew J. Walters, Jack Knight, Michael Steven Costello, Frank Lloyd, David Goldman, Wellesley Wild, Bart A. Piscitello Jr., Vincent M. Biscione, Craig Ricci Shaynak, Roseny Carrero, Liam Neeson, Katie McCabe, Lexie Contursi, Scott Wahle, Tom Brady, Anna Maiche, Sandra Yap, Ron Canada, Joseph J. Micucci, Aaron Zell, Sam J. Jones, Christy Scott Cashman, Curtis Stigers, Andrew Torres, Tiffany, Luke Adams, Bobby Moynihan, Diana Emuge, John Slattery, Julius Sharpe, Morgan Freeman, Amanda Seyfried, Sophie Mazzaro, Nefetari Spencer, Claudia Zielke, Tara Strong, Michael Trisler, Jay Patterson, Patrick Warburton, Nea Dune, Susan Garfield, Seth MacFarlane, Cocoa Brown, Ryan Hanna, Christopher Weigel, Kate McKinnon, Olivia McCarthy, Giovanni Ribisi, Enku Gubaie, Alec Sulkin, Kate Gustafson, Jimmy Kimmel, Brittany O'Connor, Anissa Borrego, Lenny Clarke, Jay Leno",Seth MacFarlane,Michael Barrett,"Wellesley Wild, Alec Sulkin, Seth MacFarlane","Wellesley Wild, Scott Stuber, Alec Sulkin, Jason Clark, Seth MacFarlane, John Jacobs",Walter Murphy,6.3,254334,/38C91I7Xft0gyY7BITm8i4yvuRb.jpg,6,2015,26,ted 2,-19,19.190157317126435,0.9595078658563218,ant-man
272878,Max,7.1,860,Released,2015-06-25,43956255,111,20000000,tt3369806,en,Max,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,1.9904,Best Friend. Hero. Marine.,"Adventure, Drama, Family","reel chefs catering, sunswept entertainment, metro-goldwyn-mayer, warner bros. pictures",United States of America,English,"Luke Kleintank, Thomas La Marche, Zeeko Zaki, Mia Xitlali, Ethan Alexander McGee, Thomas Haden Church, Andrene Ward-Hammond, Carlos, Raymond W. Beal, Khamary Rose, Hayley Joplin, Nazareth Dairian, Chris Matheny, Eduardo Gonzalez, Pete Burris, Miles Mussenden, Ian Gregg, Sean Archulet, Joan Q. Scott, Christian Brunetti, Jay Hernandez, Robbie Amell, Lauren Graham, Kelly Borgnis, Josh Wiggins, Owen Harn, Jason Davis, Alexander Schuler, Naim Alherimi, Marlo Scheitler, David J. Flores, Dejon LaQuake, J. J. Soria, Edgar Arreola",Boaz Yakin,Stefan Czapsky,"Boaz Yakin, Sheldon Lettich","Ben Ormand, Karen Rosenfelt, Ken Blancato, Boaz Yakin",Trevor Rabin,6.6,29549,/d3ACos3t4YwXML8keTA0wKN8e36.jpg,6,2015,26,max,-19,17.598705515537816,0.8799352757768908,ant-man
263472,Knock Knock,5.4,3363,Released,2015-06-26,6341684,99,10000000,tt3605418,en,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",8.8414,One night can cost you everything.,"Crime, Horror, Thriller","sobras international pictures, ufa, black bear pictures, camp grey, elevated films, movie trailer house, dragonfly entertainment, voltage pictures","Chile, Germany, United States of America","Español, English","Ignacia Allamand, Antonio Quercia, Ana de Armas, Lorenza Izzo, Megan Baily, Colleen Camp, Dan Baily, Keanu Reeves, Aaron Burns",Eli Roth,Antonio Quercia,"Anthony Overman, Nicolás López, Eli Roth, Michael Ronald Ross, Guillermo Amoedo","Sondra Locke, Nicolás López, Eli Roth, Cassian Elwes, Peter Traynor, Larry Spiegel, Colleen Camp, Miguel Asensio Llamas, Teddy Schwarzman, Keanu Reeves, Tim Degraye",Manuel Riveiro,4.9,113162,/cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,6,2015,26,knock knock,-18,15.662655063972718,0.8243502665248799,ant-man
245846,Strangerland,5.3,267,Released,2015-07-01,111107,111,10000000,tt2325977,en,Strangerland,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish.",1.6887,To find the truth they must lose themselves.,"Drama, Thriller, Mystery","screen australia, worldview entertainment, screen nsw, fís Éireann/screen ireland, wild bunch, dragonfly pictures, fastnet films","Australia, France, Ireland, United States of America",English,"Hugo Weaving, Sean Keenan, Martin Dingle Wall, Nicholas Hamilton, Lisa Flanagan, Maddison Brown, Meyne Wyatt, Nicole Kidman, Benedict Hardie, Joseph Fiennes, Megan Alston",Kim Farrant,P.J. Dillon,"Michael Kinirons, Fiona Seres","Macdara Kelleher, Sarah E. Johnson, Adriana Randall, Richard Payten, Andrew Mackie, Maria Cestone, Naomi Wenck, Molly Conners",Keefus Ciancia,5.2,10470,/Aqx7cDELYw5ZEZkS4EhyjnXXBV0.jpg,7,2015,27,strangerland,-13,11.618257980236047,0.8298755700168605,ant-man
254472,Stung,5.305,203,Released,2015-07-03,71085,87,2500000,tt3300572,en,Stung,A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,3.8795,"Get inside, get away, just don't get stung.","Horror, Comedy, Science Fiction","rat pack filmproduktion, xyz films","Germany, United States of America",English,"Matt O'Leary, Lance Henriksen, Florentine Lahme, Eve Slatner, Tommy Kreiselmaier, Kathleen Renish, Tony de Maeyer, Benni Diez, Daniele Rizzo, Benedikt Bothe, Jessica Cook, Clifton Collins Jr., David Masterson, Ceciiia Pillado",Benni Diez,Stephan Burchardt,Adam Aresty,"Benjamin Munz, Aram Tertzakian, Nick Spicer, Nate Bolotin, Todd Brown, Christian Becker","Antonio Gambale, David Menke",5.1,5468,/tcVeFuvxqnWlvoMEWevaeVO0Mm6.jpg,7,2015,27,stung,-11,11.171645690636321,0.9309704742196935,ant-man
309242,Mississippi Grind,6.0,538,Released,2015-07-04,130541,108,7100000,tt2349144,en,Mississippi Grind,"Gerry is a talented but down-on-his-luck gambler whose fortunes begin to change when he meets Curtis, a younger, highly charismatic poker player.  The two strike up an immediate friendship and Gerry quickly persuades his new friend to accompany him on a road trip to a legendary high stakes poker game in New Orleans. As they make their way down the Mississippi River, Gerry and Curtis manage to find themselves in just about every bar, racetrack, casino, and pool hall they can find, experiencing both incredible highs and dispiriting lows, but ultimately forging a deep and genuine bond that will stay with them long after their adventure is over.",1.4828,We can't lose.,"Comedy, Drama","electric city entertainment, sycamore pictures, gowanus projections",United States of America,English,"Ben Mendelsohn, Jason Shaffette, Ryan Reynolds, Yvonne Landry, Joshua Powell, Leo 'Bud' Welch, Lio Tipton, Joshua Varmall, Chris Angerdina, Justin Lebrun, P.J. Marshall, Samantha Beaulieu, Jason Davis, Joshua Wilcox, Lucky Johnson, Marshall Chapman, James Toback, Cheri Jones, Jayson Warner Smith, Jamal Dennis, Poland Perkins, Indigo, Robin Weigert, Jay Cooper, Jared Bankens, Kerry Cahill, Mary Patricia Seidel, Thomas Francis Murphy, Lauren Gros, Anthony Howard, Shamarr Allen, Susan McPhail, Teri Wyble, Sienna Miller, Cheri Williams, Don Brady, Alfre Woodard, Wes Lagarde, Randy Austin, Hunter Burke, Joseph Blake Hollier, Jane McNeill, Stephanie Honoré, David Scott Gaudin, Aaron J. Brooks, Tim Louie","Anna Boden, Ryan Fleck",Andrij Parekh,"Anna Boden, Ryan Fleck","Lynette Howell Taylor, Jamie Patricof, Jeremy Kipp Walker, Randall Emmett, Ben Nearn, Tom Rice, John Lesher",Scott Bomar,6.4,27317,/vS3Bc6BiuZtAbSQpKhhRzPa7c2d.jpg,7,2015,27,mississippi grind,-10,11.779450293046258,1.0708591175496598,ant-man
310133,Cop Car,6.0,889,Released,2015-07-08,143658,88,800000,tt3813310,en,Cop Car,Two kids find themselves in the centre of a deadly game of cat and mouse after taking a sheriff's cruiser for a joy ride.,1.879,Their first drive could be their last.,"Crime, Thriller","end cue, park pictures features, audax films, dark arts film",United States of America,English,"Kathleen Bentley, Sit Lenh, Kevin Bacon, Justin Barr, Adam Barr, Chuck Kull, Kyra Sedgwick, Loi Nguyen, Camryn Manheim, James Freedson-Jackson, Shea Whigham, Sean Hartley, Thomas Coates, Hays Wellford",Jon Watts,"Matthew J. Lloyd, Larkin Seiple","Jon Watts, Christopher Ford","Kevin Bacon, Walter Kortschak, Cody Ryder, Sam Bisbee, Lance Acord, Jon Watts, Jackie Kelman Bisbee, Andrew Kortschak, Bill Perry, Alicia Van Couvering, Tom Valerio, Frank Brenner",Phil Mossman,6.3,36385,/6MCvmPcMdbmdsIeRNQhKzLcZorP.jpg,7,2015,28,cop car,-6,11.87519771472471,1.6964568163892442,ant-man
238615,Self/less,6.4,3204,Released,2015-07-10,31807156,117,26000000,tt2140379,en,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,4.4831,God Created Man. Man Created Immortality.,"Science Fiction, Action, Thriller","ram bergman productions, endgame entertainment",United States of America,English,"Keiton Crump, Brendan McCarthy, Sandra Ellis Lafferty, Clay Chamberlin, Emily Tremaine, Alvin Santana, Mariana Paola Vicente, Steffie Grote, Sam Page, Hannah Jelinovic, Ashley Laliberty, Shelby Skipper, Jimmy Gonzáles, Jesica Ahlberg, Victor Garber, Anne Speed, Ryan Reynolds, Antionique Price, Douglas M. Griffin, Griff Furst, Dylan Lowe, Cedric Palmisano, Marcus Lyle Brown, Big Freedia, Robert Harvey, Tom Waite, Ben Kingsley, Thomas Francis Murphy, Claire McReynolds, Dakota Buchanan, Natalie Martinez, Dacia Fernandez, Katherine Grace Yeaton, Melora Hardin, Kristin Erickson, Christopher Heskey, Julian Niccolini, Kate Ransome Wilcox, Matthew Goode, Stephanie Bertrand, Anna Dudnik, Rashod Singleton, Michelle Dockery, Gary Weeks, Jaynee-Lynne Kinchen, Derek Luke, Lola Phillips, Teri Wyble",Tarsem Singh,Brendan Galvin,"Àlex Pastor, David Pastor, Evan Trent","Peter Schlessel, James D. Stern, Julie Goldstein, Ram Bergman, Lia Buman","Dudu Aram, Antonio Pinto",6.5,106902,/jhzjPJnwiQwBzW0nIHBC01fr9GG.jpg,7,2015,28,self/less,-4,17.275201885320634,3.455040377064127,ant-man
