id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
44943,Battle: Los Angeles,5.8,3604,Released,2011-03-08,211800000,116,70000000,tt1217613,en,Battle: Los Angeles,"When once distant UFOs become a terrifying threat and an alien invasion force begins attacking Earths major costal and riverside cities, a U.S Marine staff sergeant and his team are sent into battle only to find they must take it upon themselves to defeat an unknown enemy and protect what remains of Los Angeles.",2.7979,It's not war. It's survival.,"Science Fiction, Action","columbia pictures, relativity media, original film",United States of America,"English, –£–∫—Ä–∞—ó–Ω—Å—å–∫–∏–π","Ava Bogle, Beth Keener, Ram√≥n Rodr√≠guez, Alex Aristidis, Adetokumboh M'Cormack, Michael Wozniak, Jim Parrack, Jadin Gould, Michelle Rodriguez, Gino Anthony Pesi, E. Roger Mitchell, James D. Dever, Neil Brown Jr., Aaron Eckhart, Tom Hillmann, Charlotte Biggs, Marlon Young, Brandi Coleman, Jamie Norwood, Joey King, Jessica Heap, Phillip Lawrence, Cory Hardrict, Stacey Turner, James Hiroyuki Liao, Lena Clark, David Jensen, Joe Chrest, Noel Fisher, Kurt Deville, Ne-Yo, Lucas Till, Michelle Pierce, Michael Pe√±a, Bryce Cass, Taylor Handley, Rus Blackwell, Courtney Munch, Todd Cochran, Susie Abromeit, Nzinga Blake, Kenneth Brown Jr., Bridget Moynahan, Taryn Southern, Keith Middlebrook, Grant Case, Will Rothhaar, Nick Jones Jr., Jim Palmer",Jonathan Liebesman,Lukas Ettlin,Christopher Bertolini,"Jeffrey Chernov, Neal H. Moritz, David Greenblatt, Ori Marmur",Brian Tyler,5.7,189106,/jloyGeVYZSxM9zsLFvVOWuj2ey4.jpg,3,2011,10,battle: los angeles,-44,19.171152995853017,0.426025622130067,thor,"westwood, california (1), premiere (1), blank (53), dvd premiere (2), blu-ray release (1)",53,0,58,0.0,no,no
50321,Mars Needs Moms,5.9,744,Released,2011-03-09,39000000,88,150000000,tt1305591,en,Mars Needs Moms,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",6.332,Mom needs a little space.,"Adventure, Animation, Family","walt disney pictures, imagemovers digital",United States of America,English,"Mindy Sterling, Raymond Ochoa, Adam Jennings, Robert Ochoa, Dee Bradley Baker, Kirsten Severson, Amber Gainey Meade, Matthew Henerson, Tom Everett Scott, Ryan Ochoa, Stephen Kearin, Seth Robert Dusky, Breckin Meyer, Julene Renee, Seth Green, Jacquie Barnbrook, Aaron Rapke, Joan Cusack, Elisabeth Harnois, Kevin Cahoon, Dan Fogler",Simon Wells,Robert Presley,"Berkeley Breathed, Simon Wells, Wendy Wells","Steven J. Boyd, Robert Zemeckis, Steve Starkey, Jack Rapke",John Powell,5.4,25041,/g94LNU4pipIUJLkTvYIgNGfT2J2.jpg,3,2011,10,mars needs moms,-43,17.479072229734946,0.3972516415848851,thor,"blank (35), dvd premiere (6), future film festival (1)",35,0,42,0.0,no,no
49730,Red Riding Hood,6.0,3243,Released,2011-03-10,89162162,100,42000000,tt1486185,en,Red Riding Hood,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man. Unwilling to lose each other, Valerie and Peter plan to run away together when Valerie's older sister is killed by a werewolf that prowls the dark forest surrounding their village. Panic grips the town as Valerie discovers that she has a unique connection to the beast--one that inexorably draws them together, making her both suspect ... and bait.",4.899,Who's afraid?,"Thriller, Drama, Fantasy, Mystery, Horror, Romance","appian way, random films, warner bros. pictures","Canada, United States of America",English,"Olivia Steele-Falconer, Shiloh Fernandez, Jordan Becker, Adrian Holmes, Lauro David Chartrand-DelValle, Paul Wu, Cole Heppell, James Michalopolous, Shauna Kain, Gary Oldman, Darren Shahlavi, Virginia Madsen, Jen Halley, Samuel A. Smith, Don Thompson, Dalila Bela, Kacey Rohl, D.J. Greenburg, Chris Webb, Michael Hogan, Alexandria Maillot, Dalias Blake, Bella King, Megan Charpentier, Carmen Lavigne, Sarah Elgart, Lukas Haas, Michael Adamthwaite, Kaitlyn McCready, Billy Burke, Monika Spruch, Mark Jaxin, Christine Willes, Julie Christie, Amanda Seyfried, Matt Ward, Che Pritchard, Brad Kelly, Jana Berengel, Michelle Christa Smith, Gavin Buhr, Max Irons, Michael Shanks",Catherine Hardwicke,Mandy Walker,David Leslie Johnson-McGoldrick,"Catherine Hardwicke, Jennifer Davisson, Michael Ireland, Jim Rowe, Leonardo DiCaprio, Julie Yorn","Brian Reitzell, Alex Heffes",5.4,118590,/dMI4XZCfC0VhUNN1Ds6ty6iRoyJ.jpg,3,2011,10,red riding hood,-42,18.305967325945417,0.4257201703708236,thor,"los angeles, california (1), premiere (1), blank (40), limited (10), shanghai international film festival (1), blu-ray release (1), internet (2)",40,2,56,0.04,no,no
38684,Jane Eyre,7.2,1519,Released,2011-03-11,34710627,120,13000000,tt1229822,en,Jane Eyre,"After a bleak childhood, Jane Eyre goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meets the dark, cold, and abrupt master of the house, Mr. Rochester. Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?",6.4369,She sought refuge‚Ä¶ and found a place haunted by secrets.,"Drama, Romance","bbc film, ruby films, focus features, lipsync productions","United Kingdom, United States of America","Fran√ßais, English","Mia Wasikowska, Laura Phillips, Joseph Kloska, Harry Lloyd, Imogen Poots, Eglantine Rembauville-Nicolle, Joe Van Moyland, Sophie Ward, Emily Haigh, Holliday Grainger, Jayne Wisener, Sally Hawkins, Sandy McDade, Hayden Phillips, Edwina Elek, Ben Roberts, Amelia Clarkson, Judi Dench, Ewart James Walters, Freya Wilson, Michael Fassbender, Georgia Bourke, Ned Dennehy, Sarah Jane Close, Tamzin Merchant, Freya Parks, Angela Curran, Jamie Bell, Sally Reeve, Simon McBurney, Rosie Cavaliero, Lizzie Hopley, Craig Roberts, Romy Settbon Moore, Valentina Cervi, Su Elliot",Cary Joji Fukunaga,Adriano Goldman,"Charlotte Bront√´, Moira Buffini","Alison Owen, Christine Langan, Paul Trijbits, Peter Hampden",Dario Marianelli,7.3,96692,/3Cn7D0wEaxnvm8kTta1osNu3QJv.jpg,3,2011,10,jane eyre,-41,17.36255648044295,0.4133942019153083,thor,"new york city, new york (1), premiere (1), limited (3), blank (37), karlovy vary international film festival (1), dvd premiere (7), hamburg film festival (1), sitges film festival (1), gent international film festival (1), panorama of european cinema (1), belgrade film festival (1), artisokka film festival (1), cabourg film festival (1), paris cinéma (1), tv premiere (1)",37,0,59,0.0,no,no
43935,Dylan Dog: Dead of Night,4.73,511,Released,2011-03-16,4634062,107,20000000,tt1013860,en,Dylan Dog: Dead of Night,"Supernatural private eye, Dylan Dog, seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket and blue jeans.",0.8429,No pulse? No problem,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller, Fantasy","hyde park entertainment, platinum studios, long distance films",United States of America,"English, T√ºrk√ße","Courtney James Clark, Kurt Angle, Gabrielle Chapin, James H√©bert, Ryan Turek, Marco St. John, Kimberly Whalen, Taye Diggs, Courtney Shay Young, Sam Huntington, Anita Briem, Peter Stormare, Brandon Routh, Randal Reeder, Andrew Sensenig",Kevin Munroe,Geoffrey Hall,"Thomas Dean Donnelly, Tiziano Sclavi, Joshua Oppenheimer",Gilbert Adler,Klaus Badelt,5.1,16029,/nZdYn5IktnGVg7pRA2JHD1rdZDH.jpg,3,2011,11,dylan dog: dead of night,-36,15.348944579048208,0.4148363399742759,thor,"american film market (1), blank (13), dvd premiere (3), horrorthon festival dublin (1)",13,0,18,0.0,no,no
59415,My Friends: Act IV ‚Äì How It All Began,4.1,95,Released,2011-03-16,3333050,109,15000000,tt1656168,it,Amici miei - Come tutto ebbe inizio,"Jacopo, Duccio, Cecco, Manfredo and Filippo are five friends who live in Florence of the fifteenth century, during a plague epidemic.",0.6146,"At the height of its splendor, Florence was struck by a calamity: BOREDOM! To combat it, 5 friends relied on new remedies: gypsies, fishermen, fooling around? I'm fucking around!",Comedy,filmauro,Italy,Italiano,"Massimo Ceccherini, Chiara Francini, Katia Beni, Eros Pagni, Massimo Ghini, Giorgio Panariello, Aline Pilato, Sergio Forconi, Andrea Buscemi, Alessandro Paci, Franco Pistoni, Ainett Stephens, David Riondino, Barbara Enrichi, Giorgio Ariani, Christian De Sica, Graziano Salvadori, Alessandra Acciai, Paolo Hendel, Pamela Villoresi, Michele Placido, Andrea Muzzi, Alessandro Benvenuti",Neri Parenti,Luciano Tovoli,"Neri Parenti, Leonardo Benvenuti, Marco Martani, Fausto Brizzi, Piero De Bernardi, Tullio Pinelli","Maurizio Amati, Luigi De Laurentiis, Aurelio De Laurentiis",Andrea Guerra,3.2,554,/6DDYFWsSnYmoKM4ssouD47EYV7A.jpg,3,2011,11,my friends: act iv ‚äì how it all began,-36,15.019398658702965,0.4059296934784585,thor,blank (1),1,0,1,0.0,no,no
50348,The Lincoln Lawyer,7.2,3465,Released,2011-03-17,85412898,119,40000000,tt1189340,en,The Lincoln Lawyer,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.",25.734,This case is a dangerous game of life and death.,"Crime, Drama, Thriller","sidney kimmel entertainment, lionsgate, lakeshore entertainment, stone village pictures",United States of America,English,"Michael Pe√±a, Michaela Conlin, Ryan Phillippe, Rebecca Jordan, Jeff Cole, Ron Kari, Tilda Del Toro, Michael Par√©, Melanie Molnar, Mark Casimir Dyniewicz Jr., Sophia Strauss, Margarita Levieva, Sam Upton, Conor O'Farrell, William H. Macy, Javier Grajeda, Laurence Mason, Bryan Cranston, Yari De Leon, Donnie Smith, Eric Etebari, Josh Lucas, Erin Carufel, Matthew McConaughey, David Castro, Pell James, Marisa Tomei, Robert Amstler, Ryan Van de Kamp Buchanan, Shea Whigham, Frances Fisher, Rachel Wittman, Stephanie Mace, Bob Gunton, Randy Mulkey, Christian George, L. Emille Thomas, Matthew Moreno, John Leguizamo, Reggie Baker, Melanie Benz, Kate Moennig, Trace Adkins, Mackenzie Aladjem, Keith Middlebrook, Monica Cabral",Brad Furman,Lukas Ettlin,"John Romano, Michael Connelly","Tom Rosenberg, Bruce Toll, Sidney Kimmel, Eric Reid, Scott Steindorff, Richard S. Wright, David Kern, Gary Lucchesi",Cliff Martinez,7.3,266124,/gOn8Ve9Yi8fxjRkmLr5BZoOc7KV.jpg,3,2011,11,the lincoln lawyer,-35,18.26300768950765,0.5073057691529902,thor,"hollywood, california (1), premiere (1), blank (45), blu ray premiere (1), dvd premiere (2), internet (3)",45,3,53,0.06,no,no
51876,Limitless,7.191,11043,Released,2011-03-17,161900000,105,27000000,tt1219289,en,Limitless,The life of an unsuccessful writer is transformed by a top-secret 'smart drug' that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life.,5.7536,What if a pill could make you rich and powerful?,"Thriller, Mystery, Science Fiction","relativity media, virgin produced, many rivers productions, boy of the year, rogue pictures, mandate international",United States of America,"English, Italiano, P—É—Å—Å–∫–∏–π, ÊôÆÈÄöËØù, Fran√ßais","Damali Mason, Anna Parkinson, Richard Miller, Bradley Cooper, Johnny Whitworth, Saxon Palmer, Ned Eisenberg, Eddie J. Fernandez, Rebecca Dayan, Caroline Winberg, Joe McCarthy, Patricia Kalember, Tom Bloom, Damaris Lewis, Meg McCrossen, Piper Brown, Dave Droxler, Stephanie Humphrey, Chris McMullin, Darren Goldstein, Stephen Sable, Cindy Katz, Laurence Roscoe, Ann Talman, Robert Bizik, Hugh Douglas, Richard Bekins, Brian Anthony Wilson, Robert De Niro, Nicolas Le Guern, Andrew Howard, Tomas Arana, Daniel Breaker, T.V. Carpio, Robert John Burke, Luisina Quarleri, Arlette de Alba, Howard Strong, Peter Pryor, Anna Friel, Ray Siegle, Tom Teti, Nina Hodoruk, Abbie Cornish, Simon MacLean, Ann Marie Green, Violeta Silva",Neil Burger,Jo Willems,"Alan Glynn, Leslie Dixon","Leslie Dixon, Tucker Tooley, Ryan Kavanaugh, Bradley Cooper, Scott Kroopf, Jason Felts",Paul Leonard-Morgan,7.4,638252,/un0a2U7KLjMH77N6EhqYh7ZOlVx.jpg,3,2011,11,limitless,-35,18.902489424824516,0.5250691506895699,thor,"new york city, new york (1), premiere (2), blank (51), dvd premiere (3), buenos aires (1)",51,0,58,0.0,no,no
55725,Win Win,6.8,521,Released,2011-03-18,10654385,106,10831173,tt1606392,en,Win Win,"When down-on-his-luck part-time high school wrestling coach Mike agrees to become legal guardian to an elderly man, his ward's troubled grandson turns out to be a star grappler, sparking dreams of a big win -- until the boy's mother retrieves him.",0.9203,"In the game of life, you can't lose 'em all.","Drama, Comedy","next wednesday productions, fox searchlight pictures, everest entertainment, groundswell productions",United States of America,English,"Marcia Haufrecht, Darren Goldstein, Sophie Kindred, Penelope Kindred, Clare Foley, Marceline Hugot, Burt Young, Melanie Lynskey, Dariusz M. Uczkowski, Tim Ransom, Jeffrey Tambor, Alex Shaffer, David Thompson, Nina Arianda, Margo Martindale, Paul Giamatti, Sharon Wilkins, Bobby Cannavale, Amy Ryan, Pam Levine, Edmund Ikeda, Joseph Tiboni",Tom McCarthy,Oliver Bokelberg,"Joe Tiboni, Tom McCarthy","Lisa Maria Falcone, Tom Heller, Michael London, Tom McCarthy, Mary Jane Skalski, Lori Keith Douglas",Lyle Workman,7.1,56108,/xX0Ryq5J2weFF5BPYb80giKUL02.jpg,3,2011,11,win win,-34,16.18148219632652,0.4623280627521863,thor,"sundance film festival (1), belgrade film festival (1), limited (1), wisconsin film festival (1), blank (15), karlovy vary international film festival (1), athens film festival (1), dvd premiere (2), rio de janeiro international film festival (1), gent international film festival (1), amsterdam film week (1), tallinn black nights film festival (1), torino film festival (1), tv premiere (1)",15,0,29,0.0,no,no
56401,The Music Never Stopped,7.202,166,Released,2011-03-18,253899,105,4000000,tt1613062,en,The Music Never Stopped,"Henry struggles to bond with his estranged son, Gabriel, who suffers from a brain tumor that prevents him from forming new memories. With Gabriel unable to shed the beliefs and interests that caused their physical and emotional distance, Henry must learn to embrace his son's choices and try to connect with him through music.",1.0726,"No matter how lost you are, music can bring you home.",Drama,"mr. tamborine man, essential pictures",United States of America,English,"Tammy Blanchard, Xander Johnson, J.K. Simmons, Lou Taylor Pucci, James Urbaniak, Max Antisell, Mark Greenberg, Ryan Karels, Peggy Gormley, Julia Ormond, Cara Seymour, Wade Mylius, Erica Fae, James Eason, Rich Campbell, Scott Adsit, Buzz Roddy, Martin Moran, Matthew J. McCarthy, Jesse Roche, M√≠a Maestro, Rashad Edwards, Josh Segarra",Jim Kohlberg,Stephen Kazmierski,"Gwyn Lurie, Gary Marks","Jim Kohlberg, Brad Luff, Peter Newman, Julie W. Noll, Neal H. Moritz, Greg Johnson",Paul Cantelon,7.5,8945,/hbKqNh3bi2Do4cpefIbBNUdQJg6.jpg,3,2011,11,the music never stopped,-34,12.44469576769277,0.3555627362197934,thor,"sundance film festival (1), portland, oregon (1), hamburg film festival (1), blank (5), dvd premiere (2), tv premiere (1)",5,0,11,0.0,no,no
23629,Sucker Punch,6.2,4908,Released,2011-03-24,89792502,110,82000000,tt0978764,en,Sucker Punch,"A young woman, institutionalized by her abusive stepfather, retreats into a vivid fantasy world where she envisions a plan to escape. Gathering a group of fellow inmates, she embarks on a quest to collect five mystical items, blurring the lines between reality and imagination.",6.9987,You will be unprepared.,"Action, Fantasy, Thriller","legendary pictures, lennox house films, warner bros. pictures, cruel & unusual films","Canada, United States of America","English, Deutsch","Kelora Clingwall, Patrick Sabongui, Oscar Isaac, Emily Browning, John Howard, Gina Garenkooper, Phillip Mitchell, Stephanie Sy, Peter Bryant, Brad Kelly, Revard Dufresne, Scott Glenn, John R. Taylor, Gerard Plunkett, Jon Hamm, Daniela Dib, Ian Tracey, Jeff Dimitriou, Geneen Georgiev, Richard Cetrone, Frederique De Raucourt, Gary A. Hecker, Carla Gugino, Louise Hradsky, Hailley Caulfield, Chris Nowland, Juliana Semenova, A.C. Peterson, Michael Adamthwaite, Caitlin Goguen, Chantal Hunt, Nii Nortey Engmann, Cainan Wiebe, Kathryn Schellenberg, Jena Malone, Arassay Reyes, Paula Giroday, Danielle Benton, Allie Bertram, Tia Haraga, Maiko Miyauchi, Vicky Lambert, Abbie Cornish, Lee Tomaschefski, Annie Au, Jamie Chung, Ron Selmour, Eli Snyder, Caroline Torti, G! Force, Vanessa Hudgens, Christine Willes, Carla Catherwood, Thomas Fornataro, Malcolm Scott, Sean Campbell, Monique Ganderton, Antoine Baby Harry Calaway, Danny Bristol",Zack Snyder,Larry Fong,"Zack Snyder, Steve Shibuya","Jim Rowe, Deborah Snyder, Thomas Tull, Christopher DeFaria, Wesley Coller, Zack Snyder, Jon Jashni, William Fay","Marius de Vries, Tyler Bates",6.1,259099,/jtaUDnvIiHUd2ranDcjB5AbPx6o.jpg,3,2011,12,sucker punch,-28,18.31301204426393,0.6314831739401355,thor,"buenos aires (1), blank (56), night visions film festival (1), blu-ray release (1), dvd premiere (1), tv premiere (1)",56,0,61,0.0,no,no
60307,Diary of a Wimpy Kid: Rodrick Rules,6.7,1198,Released,2011-03-25,72526996,99,21000000,tt1650043,en,Diary of a Wimpy Kid: Rodrick Rules,"Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",5.1383,Welcome to the next grade.,"Family, Comedy","color force, dune entertainment, fox 2000 pictures","United States of America, Canada, Japan",English,"Connor Fielding, Tom MacNeill, Alf Humphreys, Fran Kranz, Betty Phillips, Belita Moreno, Ava Hughes, Devon Bostick, Samantha Page, Owen Best, Bryce Hodgson, Tae Helgeth, Angela Moore, Spencer Drever, Kai Kennedy, Dalila Bela, Benjamin Hollingsworth, John Shaw, Graeme Duffy, Monica Marko, Rachael Harris, Christopher De-Schuster, Serge Houde, Jake D. Smith, Kyle Cornell, Terence Kelly, Conner Ingram, Darcy Michael, Sheila Paterson, Maple Batalia, Dawn Chubai, Brenda Anderson, Zachary Gordon, Steve Zahn, Robert Capron, Karan Brar, Manoj Sood, Doreen Ramus, Jeff Kinney, Elysia Rotaru, Michelle Harrison, Kevin Kazakoff, Savannah Lathem, Jakob Davies, Sean Mathieson, Michael Strusievici, Owen Fielding, Alec Willows, Melissa Roxburgh, Mark Brandon, Andrew McNee, Peyton List, Teryl Rothery, Laine MacNeil, Nancy Ebert, Grayson Russell",David Bowers,Jack N. Green,"Jeff Kinney, Gabe Sachs, Jeff Judah","Jeff Kinney, Brad Simpson, Nina Jacobson",Edward Shearmur,6.6,40934,/k54R3ag1sLu93Wbfo4quw9sSFyj.jpg,3,2011,12,diary of a wimpy kid: rodrick rules,-27,18.099469422925296,0.646409622247332,thor,"blank (15), dvd premiere (10), blu-ray release (1), blu-ray premiere (1), internet (1), tv premiere (1)",15,1,29,0.03,no,no
45612,Source Code,7.303,8750,Released,2011-03-30,147332697,93,32000000,tt0945513,en,Source Code,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",3.0072,Make every second count.,"Thriller, Science Fiction, Mystery","the mark gordon company, summit entertainment, vend√¥me production","Canada, United States of America, France",English,"Michael Arden, Paula Jean Hixson, Kyle Allatt, Raynald Lapierre, Pierre Leblanc, Russell Peters, Matt Holland, Vera Farmiga, Craig Thomas, Kyle Gatehouse, Jeffrey Wright, Fr√©d√©rick de Grandpr√©, Joe Cobden, Tom Tammi, Anne Day-Jones, Albert Kwan, Michelle Monaghan, Brent Skagford, Gordon Masten, Susan Bain, Scott Bakula, Jasson Finney, Lincoln Ward, Cas Anvar, James A. Woods, Clarice Byrne, Jake Gyllenhaal",Duncan Jones,Don Burgess,Ben Ripley,"Jeb Brody, Philippe Rousselet, Mark Gordon, Hawk Koch, Fabrice Gianfermi, Jordan Wynn",Chris Bacon,7.5,574935,/nTr0lvAzeQmUjgSgDEHTJpnrxTz.jpg,3,2011,13,source code,-22,18.80820383914737,0.8177479930064074,thor,"south by southwest film festival (1), hollywood, california (1), premiere (2), blank (67), beaune film festival (1), mostra de valencia (1), imagine film festival (1), limited (1), buenos aires (1), internet (1), blu-ray release (1), dvd premiere (1)",67,1,79,0.01,no,no
50359,Hop,5.8,1346,Released,2011-03-30,183953723,95,63000000,tt1411704,en,Hop,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In L.A., he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",4.9977,"Candy, chicks and rock 'n' roll.","Animation, Comedy, Family","universal pictures, illumination, relativity media",United States of America,English,"Elizabeth Perkins, Coleton Ray, Hugh Hefner, Django Marsh, Hugh Laurie, Jimmy Carter, Dustin Ybarra, Greg Lewis, Chelsea Handler, Rick Pasqualone, Hank Azaria, Tiffany Espensen, Kaley Cuoco, James Marsden, Robbie Tucker, Gary Cole, David Hasselhoff, Veronica Alicino, Russell Brand, Mark Riccardi, Crystal the Monkey, Micha√´l Gr√©gorio",Tim Hill,Peter Lyons Collister,"Brian Lynch, Cinco Paul, Ken Daurio","John Cohen, Chris Meledandri, Michele Imperato Stabile",Christopher Lennertz,5.4,39786,/hRa9MJTgCbSuL3h2CVPwUdYOWJH.jpg,3,2011,13,hop,-22,19.03019478394183,0.8273997732148622,thor,"universal city, california (1), premiere (1), blank (45), paris cinéma (1)",45,0,48,0.0,no,no
49018,Insidious,6.9,7103,Released,2011-03-31,100106454,102,1500000,tt1591095,en,Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",8.2248,It's not the house that's haunted.,"Horror, Thriller","alliance films, im global, haunted movies, filmdistrict","Canada, United States of America",English,"Ruben Pla, Patrick Wilson, Joseph Bishara, Leigh Whannell, Corbett Tuck, Philip Friedman, John Henry Binder, Ty Simpkins, Kelly Devoto, J. LaRose, Rose Byrne, Heather Tocquigny, Angus Sampson, Lin Shaye, Andrew Astor, Barbara Hershey",James Wan,"John R. Leonetti, David M. Brewer",Leigh Whannell,"Jason Blum, Oren Peli, Brian Kavanaugh-Jones, Steven Schneider",Joseph Bishara,6.8,360806,/tmlDFIUpGRKiuWm9Ixc6CYDk4y0.jpg,3,2011,13,insidious,-21,18.42174472772083,0.8373520330782196,thor,"toronto international film festival (1), premiere (1), sitges international fantastic film festival (1), blank (45), imagine film festival (1), lyon festival hallucinations collectives (1), neuchâtel international fantastic film festival (1), dvd and blu-ray premiere (1), dvd premiere (2), molins film festival (1)",45,0,55,0.0,no,no
57353,Cat Run,5.303,150,Released,2011-04-01,65708,106,25000000,tt1446147,en,Cat Run,"When a sexy, high-end escort holds the key evidence to a scandalous government cover-up, two bumbling young detectives become her unlikely protectors from a ruthless assassin hired to silence her.",0.9182,CATch her if you can...,"Action, Comedy, Thriller",lleju productions,United States of America,"English, Srpski","Branko ƒêuriƒá, Marija Tonic, Ivana Pekoviƒá, Jean-Christophe Bouvet, Karina Shay, Ana Sakiƒá, Eve Angel, Bill Perkins, Steven Radusinoviƒá, Heather Chasen, Scott Mechlowicz, Malina Germanova, Gordan Kiƒçiƒá, D.L. Hughley, Karel Roden, Milorad Kapor, Kaloian Vodenicharov, Biljana Hresnjek, Malique Hawkins, Miomir Radeviƒá 'Pigi', Da≈°a ≈Ωivkoviƒá, Janet McTeer, Tony Curran, Benjamin Mustelaj, Miodrag Kadic, Petar Buriƒá, Slobodan Marunic, Peaches, Caleb Vela Poquet, Ivanka Bozinovic, Radik Golovkov, Michael Sopko, Slobodan 'Boda' Ninkoviƒá, J.J. Perry, Nenad Stefanovic, Albert P√©rez, Neil Nolan, Paz Vega, Jelena Gavriloviƒá, Steve Agnew, Mila Kalaƒëurƒëeviƒá, Alphonso McAuley, Jovan Krstiƒá, Olga Astanaskaja, Christopher McDonald, Michelle Lombardo, Vanja Govorko, Ken Phillips",John Stockwell,Jean-Fran√ßois Hensgens,"Nick Ball, John Niven","Peter Principato, Derrick Borte, Paul Young, Ram Bergman, Bill Perkins, Max Winkler",Devin Powers,5.5,5878,/2QnqQn7W2IjVEgK6mmUIkfQWY19.jpg,4,2011,13,cat run,-20,11.092991181392303,0.5282376753043955,thor,"blank (3), fantasy filmfest (1), dvd premiere (5)",3,0,9,0.0,no,no
